method,task_id,seed,flow_step,t,projection_target,velocity_norm,endpoint_total_violation,endpoint_min_clearance,endpoint_goal_error,projection_called,solver_success,solver_runtime_sec,projection_total_runtime_sec,projection_correction_norm,projection_objective,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error,solver_iterations,corridor_collision_count
PLAIN_FM,1,24,4,0.5714285714285714,none,15.469683647155762,0.9012174606323242,0.027003868819877763,0.4638501843441419,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,24,5,0.7142857142857143,none,15.447412490844727,0.08137941360473633,0.024641198404474263,0.4695022552508657,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,1,24,6,0.8571428571428571,none,15.347009658813477,0.5594921112060547,0.021067172536931633,0.47285908483409234,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,24,0,0.0,none,15.606695175170898,7.89363042678833,0.031752314209832544,0.4739643812205244,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,24,1,0.14285714285714285,none,15.517801284790039,4.587417542934418,0.03180317374546765,0.4651440747576402,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,24,2,0.2857142857142857,none,15.498847007751465,2.4200212955474854,0.031395979009420316,0.4628931397408528,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,24,3,0.42857142857142855,none,15.48265266418457,1.7124605178833008,0.030527211564293777,0.46251487564497745,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,24,4,0.5714285714285714,none,15.469683647155762,0.9012174606323242,0.027003868819877763,0.4638501843441419,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,24,5,0.7142857142857143,none,15.447412490844727,0.08137941360473633,0.024641198404474263,0.4695022552508657,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,24,6,0.8571428571428571,none,15.347009658813477,0.5594921112060547,0.021067172536931633,0.47285908483409234,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,1,24,7,1.0,final_endpoint,0.0,0.5594921112060547,0.021067172536931633,0.47285908483409234,1.0,1.0,0.05297429795609787,0.5533824029844254,2.566551111060298,6.587184605684848,0.021067172536931633,0.04126426042869907,0.5594921112060547,0.0070355666557380125,,6,6
CURRENT_STATE_PROJECTION,1,24,0,0.0,current_state,11.771747589111328,6.860108375549316,0.02503856681117317,0.4660798135103068,1.0,0.0,0.12223749392433092,1.0984291339991614,5.092447403720394,25.933020559658583,-0.02753922043783629,-0.07542498452235752,667.8004814631414,477.84515346312867,"Acados projection did not converge: status=0, max_slack=9.82806, finite=True",12,74
CURRENT_STATE_PROJECTION,1,24,1,0.14285714285714285,current_state,8.853039741516113,3.426809310913086,0.023751737470907364,0.4600579520392819,1.0,0.0,0.12645791604882106,1.1036840050364845,2.6478865589505842,7.011303229071165,-0.10589871152190536,-0.13597699908941718,408.05706528218536,288.78205876805293,"Acados projection did not converge: status=0, max_slack=0.803367, finite=True",12,170
